i,j
1393,1453
1394,2295
1394,3031
1395,2357
1395,2374
1399,1815
1399,2900
1400,2604
1400,3358
1401,2140
1403,1459
1403,3500
1404,2280
1404,2993
1405,1692
1406,2458
1407,2995
1407,3933
1408,2155
1410,2848
1410,3042
1411,3977
1412,2783
1412,3140
1413,1568
1414,1830
1416,3490
1419,3169
1420,3730
1421,2379
1422,3985
1423,1453
1423,3827
1424,3538
1424,3627
1425,1875
1425,2084
1426,3923
1429,2946
1430,3648
1431,3762
1432,3466
1433,2650
1435,3917
1436,1475
1436,1526
1437,1490
1437,3291
1438,3871
1439,2279
1440,1603
1440,3368
1443,2881
1444,1515
1445,3268
1445,3517
1448,3245
1448,3303
1449,2252
1449,3168
1451,2591
1451,2835
1452,3320
1454,3458
1455,2072
1456,3331
1457,1774
1457,2303
1459,3641
1460,2319
1461,2175
1461,2310
1462,3413
1462,3752
1463,2891
1463,3934
1464,1876
1464,2160
1465,1678
1465,3186
1467,1673
1468,3773
1469,3874
1471,3927
1472,2448
1472,3828
1474,3614
1475,3400
1476,1528
1477,1553
1477,3492
1480,1641
1480,3671
1481,2869
1482,1510
1483,2068
1484,1876
1484,2588
1485,1776
1486,2825
1488,2352
1489,3450
1491,3933
1492,2073
1495,1581
1495,3680
1496,3880
1497,3842
1498,3300
1500,2108
1500,2780
1501,2064
1501,2781
1502,2190
1502,2914
1503,1504
1503,2575
1506,3816
1507,3496
1510,2027
1513,1530
1513,3751
1514,3467
1514,3944
1516,1977
1517,2289
1517,3573
1518,3782
1519,3929
1520,3140
1521,2183
1521,2895
1524,1578
1525,2488
1525,3503
1526,3182
1527,3697
1529,2765
1531,3716
1531,3787
1534,3837
1534,3998
1535,2189
1536,1580
1537,3265
1539,2462
1541,1821
1543,1829
1544,3379
1545,2122
1546,2146
1546,2792
1548,3475
1550,3910
1551,3468
1551,3882
1552,1563
1553,3730
1555,3217
1557,2063
1559,2097
1560,3122
1560,3566
1563,1579
1564,2387
1564,2756
1565,1823
1566,2239
1566,3370
1569,3566
1569,3656
1570,3280
1571,1946
1571,3833
1572,2280
1573,1776
1573,1906
1576,3841
1577,2185
1577,3516
1579,1652
1581,3643
1582,3059
1583,3529
1584,2283
1584,3759
1585,2811
1586,2866
1587,3820
1588,2668
1589,3044
1589,3375
1590,2448
1590,2578
1591,3812
1593,3717
1594,3455
1595,3548
1596,1835
1596,3885
1598,2943
1598,3472
1599,2780
1600,3871
1601,2593
1601,2739
1602,1920
1602,3327
1604,3129
1604,3404
1605,1774
1606,2196
1607,1868
1607,3740
1608,2684
1608,3116
1609,2320
1609,3287
1610,2024
1611,1999
1612,1886
1612,3047
1613,1900
1613,2131
1615,1851
1615,3410
1616,3864
1616,3918
1618,3255
1618,3778
1621,2142
1621,3199
1622,3460
1622,3904
1623,1988
1624,2248
1624,3134
1625,2086
1625,2766
1626,2015
1626,3669
1627,2023
1627,3360
1628,2164
1628,2327
1629,2497
1630,1801
1631,3092
1631,3922
1633,3331
1634,2543
1634,3187
1635,1646
1635,2723
1636,2626
1636,2842
1637,2328
1637,3768
1638,3365
1638,3570
1639,2184
1639,2306
1640,2324
1640,3485
1641,3316
1642,2812
1642,3733
1643,2990
1643,3597
1644,2432
1644,3621
1645,1730
1645,3699
1646,3131
1647,2247
1647,3408
1648,2902
1649,1974
1649,2322
1650,2706
1650,2868
1651,2611
1651,2738
1652,1662
1653,2508
1653,2852
1654,2254
1654,2540
1656,3016
1657,1813
1658,3536
1659,2698
1659,2846
1660,1668
1660,3504
1661,3179
1661,3437
1662,3107
1663,3791
1664,2233
1664,2978
1665,2121
1666,3298
1666,3378
1667,2957
1667,3301
1668,2514
1669,2372
1670,1938
1670,3326
1671,1848
1671,3133
1672,1771
1672,2606
1673,2377
1674,3333
1674,3349
1675,1912
1675,3036
1676,1787
1676,2341
1677,2288
1677,2336
1678,3723
1679,2495
1679,3922
1680,2295
1680,2720
1681,2522
1681,2747
1682,2031
1682,3563
1683,1983
1683,2867
1684,2135
1684,2950
1685,1722
1685,3470
1687,3080
1687,3213
1688,2048
1688,2987
1689,1879
1689,2507
1690,1739
1690,3897
1691,2426
1691,3285
1692,3973
1693,2499
1693,3152
1694,1779
1694,2349
1697,2259
1697,2503
1698,2648
1700,1722
1700,3170
1701,2011
1701,2529
1703,1985
1703,2515
1704,2283
1704,3386
1705,1843
1705,3338
1707,2123
1707,3612
1709,2585
1709,2888
1710,1930
1711,3203
1711,3248
1712,1926
1712,2026
1714,2174
1714,3471
1715,1917
1715,2609
1716,3081
1716,3590
1717,1834
1717,2267
1720,1908
1720,3073
1721,2554
1723,2203
1723,2721
1724,2504
1724,3155
1725,3994
1727,2242
1727,3041
1728,1780
1728,3009
1729,3027
1731,2090
1731,3937
1732,2081
1732,3392
1732,3918
1733,3048
1733,3080
1734,2157
1734,2786
1735,2140
1735,3243
1736,2775
1736,2907
1737,1889
1737,3403
1738,2691
1739,2440
1741,2335
1741,2703
1742,2468
1742,2879
1743,3879
1744,2005
1744,2204
1745,1757
1745,3034
1746,1760
1746,2336
1747,1981
1747,2767
1748,3377
1748,3757
1749,2041
1750,1925
1750,3112
1751,3175
1751,3887
1752,3796
1753,2725
1753,3975
1754,3484
1755,3678
1755,3935
1756,2330
1756,3099
1757,3094
1758,2037
1760,2864
1761,2180
1761,2822
1762,3909
1763,1990
1763,2112
1764,2172
1764,2796
1765,2125
1765,3853
1766,2490
1766,3231
1767,1829
1767,1832
1768,1986
1768,3951
1769,2149
1770,1878
1770,3607
1771,2728
1772,2134
1772,3165
1773,3555
1773,3967
1775,2707
1775,2778
1777,2308
1777,3462
1778,2387
1778,3632
1779,2350
1780,2790
1781,3489
1782,2034
1783,2114
1783,3084
1784,3263
1785,2870
1786,2286
1786,3209
1787,2506
1788,2124
1788,2240
1789,2527
1790,2615
1790,2620
1791,2416
1791,3459
1792,3575
1792,3636
1793,3149
