i,j
823,2327
824,2895
825,1544
825,4278
826,1874
826,1968
827,2811
827,2891
829,916
829,4085
830,4373
832,991
833,1325
833,1980
834,884
835,1256
836,940
836,1673
837,2003
837,3319
839,1451
839,2209
840,1377
840,4390
842,3644
844,1623
845,3398
846,2787
846,4089
847,2391
847,3477
848,3917
849,3309
849,3931
850,1755
850,2246
851,3549
851,4018
852,2113
853,1546
855,1223
855,1370
856,978
856,4391
857,2179
857,2262
858,928
859,876
860,908
862,3086
863,4022
864,1921
865,4326
866,1822
866,3497
867,2849
868,1028
869,971
869,1005
870,4160
870,4402
872,1094
872,3292
873,4113
874,3993
875,1099
875,1167
876,3677
877,1116
879,932
879,2737
880,1161
882,3266
882,3622
883,2947
885,1158
885,3541
887,1418
887,1445
888,973
888,3759
890,2307
890,3607
891,3588
891,3757
892,1021
893,3855
893,4080
894,1555
895,1836
895,4126
896,3133
896,3210
897,2047
897,2315
899,1834
901,1607
901,3802
902,1105
903,4010
904,1144
905,1447
905,3733
906,1303
906,2239
907,944
907,1358
908,3755
910,1121
911,1197
911,2026
912,1791
912,4206
913,3781
915,3386
917,992
917,4046
918,1591
918,3636
919,4296
920,3163
921,1458
922,1560
922,1949
924,2513
924,4082
925,988
925,3595
926,4123
927,1388
928,3670
929,2633
929,3045
930,976
930,2705
931,4038
931,4327
932,1676
933,4344
934,1045
934,1639
935,2869
935,4365
936,1830
936,2335
937,3804
937,4287
938,1514
939,1141
940,3610
942,1411
942,1656
943,2025
943,2721
944,2296
945,1114
946,2551
946,3795
948,2103
948,3317
949,4286
950,1470
950,1672
951,2817
952,1638
954,2451
954,3914
956,2402
956,4109
957,3077
958,3965
959,3697
959,4344
960,4073
961,1391
962,1238
962,3103
963,2731
963,3934
965,4022
966,4360
967,1104
968,1546
968,1597
969,1700
969,4074
970,1153
974,1758
975,1687
975,3750
976,1645
977,4340
981,1122
982,3288
983,1051
984,2670
984,3523
985,1296
987,1320
988,3821
989,3935
990,1036
990,2283
993,2157
994,1031
995,1065
997,1615
997,3553
998,3617
998,4381
999,1033
1001,1770
1002,4214
1002,4255
1003,1746
1004,1022
1004,3514
1005,2230
1007,4227
1008,3891
1008,4244
1010,4172
1011,3596
1011,3603
1012,1836
1013,1626
1014,1981
1014,3688
1015,3198
1015,3901
1017,3635
1018,1645
1018,3751
1022,2301
1023,1034
1024,1578
1024,1895
1027,3418
1027,3512
1028,1041
1029,2214
1032,1138
1032,3621
1033,1312
1035,1999
1035,2346
1036,2421
1037,1948
1038,1160
1039,4115
1040,1062
1040,3837
1042,3213
1045,1052
1046,4376
